cpu_time,cpu_usage,h:m:s,io_in,io_out,jobid,max_pss,max_rss,max_uss,max_vms,mean_load,rule_name,s,threads,genome,library,maxlength,nrows,operation,status
8.48,536.5627357244491,0:00:06,71.81802558898926,0.0008182525634765,0,824.9912109375,832.86328125,820.87109375,4571.7109375,87.67922917874337,binary_r,6.1196,1,hg38,genomicranges,1000,100_000,intersection,ok
11.2,809.9605610609054,0:00:08,110.21774768829346,0.0008182525634765,0,943.9541015625,952.6171875,939.07421875,4690.5546875,96.16165898338626,binary_r,8.4229,1,hg38,genomicranges,1000,1_000_000,intersection,ok
18.9,1583.073217391968,0:00:39,323.99331855773926,0.0008182525634765,0,1469.1396484375,1439.1953125,1464.37109375,5179.92578125,39.59891674896947,binary_r,39.9777,1,hg38,genomicranges,1000,10_000_000,intersection,ok
7.949999999999999,477.2807535648346,0:00:05,64.29161739349365,0.0008182525634765,0,752.7763671875,761.48828125,747.984375,4499.875,84.94982598712994,binary_r,5.6184,1,proteome,genomicranges,10,10_000,intersection,ok
9.01,594.69554605484,0:00:06,71.54601192474365,0.0008182525634765,0,820.365234375,829.7265625,815.62109375,4567.86328125,88.47496208571485,binary_r,6.7216,1,proteome,genomicranges,10,100_000,intersection,ok
13.47,1038.7402881860733,0:00:10,113.9085521697998,0.0008182525634765,0,972.7587890625,981.61328125,968.0078125,4719.03125,95.05884188380728,binary_r,10.9273,1,proteome,genomicranges,10,1_000_000,intersection,ok
18.88,1574.767765259743,0:00:43,310.54930114746094,0.0008182525634765,0,1205.859375,1213.9609375,1201.640625,4951.98046875,35.96536729309269,binary_r,43.7857,1,proteome,genomicranges,10,10_000_000,intersection,ok
7.82,477.9574166297912,0:00:05,64.34535884857178,0.0008182525634765,0,772.048828125,781.00390625,767.2421875,4519.26953125,86.60929278954166,binary_r,5.5185,1,proteome,genomicranges,100,10_000,intersection,ok
8.959999999999999,586.9148379325867,0:00:06,69.70262336730957,0.0008182525634765,0,849.76171875,858.28515625,845.2265625,4596.078125,90.01006292113732,binary_r,6.5205,1,proteome,genomicranges,100,100_000,intersection,ok
13.39,1028.0449226617811,0:00:10,114.1448621749878,0.0008182525634765,0,939.7900390625,969.9609375,921.015625,4707.70703125,96.72828602505548,binary_r,10.6282,1,proteome,genomicranges,100,1_000_000,intersection,ok
49.080000000000005,4596.297635698318,0:01:03,558.674524307251,0.0008182525634765,0,3018.794921875,3028.05078125,3014.10546875,7022.3203125,72.82272505732074,binary_r,63.1163,1,proteome,genomicranges,100,10_000_000,intersection,ok
9.66,658.2780798912047,0:00:07,64.99074649810791,0.0008182525634765,0,817.0146484375,825.4921875,812.4921875,4563.5390625,92.3787745302741,binary_r,7.1259,1,proteome,genomicranges,1000,10_000,intersection,ok
8.97,588.2090445280074,0:00:06,69.75954246520996,0.0008182525634765,0,820.806640625,829.48828125,815.93359375,4567.921875,88.85415074373597,binary_r,6.6199,1,proteome,genomicranges,1000,100_000,intersection,ok
